certification_no,insurer,plan_name,plan_level,plan_doc_url,still_missing,ward,deductible,geography,annual_limit,coinsurance,lifetime,note
F00022-02-000-03,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Semi-private (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-02-000-03-PlanDoc-e.pdf,deductible,,,,,,,
F00022-05-000-03,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Semi-private (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-05-000-03-PlanDoc-e.pdf,deductible,,,,,,,
F00022-03-000-03,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Standard Private (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-03-000-03-PlanDoc-e.pdf,deductible,,,,,,,
F00022-06-000-03,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Standard Private (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-06-000-03-PlanDoc-e.pdf,deductible,,,,,,,
F00022-01-000-03,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Ward (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-01-000-03-PlanDoc-e.pdf,deductible,,,,,,,
F00022-04-000-03,AIA International Limited,AIA Voluntary Health Insurance Flexi Scheme,Ward (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00022/F00022-04-000-03-PlanDoc-e.pdf,deductible,,,,,,,
F00017-03-000-04,AXA China Region Insurance Company (Hong Kong) Limited,Smart Medicare,Premier (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00017/F00017-03-000-04-PlanDoc-e.pdf,deductible,,,,,,,
F00017-06-000-04,AXA China Region Insurance Company (Hong Kong) Limited,Smart Medicare,Premier (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00017/F00017-06-000-04-PlanDoc-e.pdf,deductible,,,,,,,
F00017-03-001-04,AXA China Region Insurance Company (Hong Kong) Limited,Smart Medicare,Premier with SMM (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00017/F00017-03-001-04-PlanDoc-e.pdf,deductible,,,,,,,
F00017-06-001-04,AXA China Region Insurance Company (Hong Kong) Limited,Smart Medicare,Premier with SMM (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00017/F00017-06-001-04-PlanDoc-e.pdf,deductible,,,,,,,
F00017-01-000-04,AXA China Region Insurance Company (Hong Kong) Limited,Smart Medicare,Regular (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00017/F00017-01-000-04-PlanDoc-e.pdf,deductible,,,,,,,
F00017-04-000-04,AXA China Region Insurance Company (Hong Kong) Limited,Smart Medicare,Regular (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00017/F00017-04-000-04-PlanDoc-e.pdf,deductible,,,,,,,
F00017-01-001-04,AXA China Region Insurance Company (Hong Kong) Limited,Smart Medicare,Regular with SMM (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00017/F00017-01-001-04-PlanDoc-e.pdf,deductible,,,,,,,
F00017-04-001-04,AXA China Region Insurance Company (Hong Kong) Limited,Smart Medicare,Regular with SMM (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00017/F00017-04-001-04-PlanDoc-e.pdf,deductible,,,,,,,
F00017-02-000-04,AXA China Region Insurance Company (Hong Kong) Limited,Smart Medicare,Superior (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00017/F00017-02-000-04-PlanDoc-e.pdf,deductible,,,,,,,
F00017-05-000-04,AXA China Region Insurance Company (Hong Kong) Limited,Smart Medicare,Superior (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00017/F00017-05-000-04-PlanDoc-e.pdf,deductible,,,,,,,
F00017-02-001-04,AXA China Region Insurance Company (Hong Kong) Limited,Smart Medicare,Superior with SMM (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00017/F00017-02-001-04-PlanDoc-e.pdf,deductible,,,,,,,
